IMF32, WIM: D:\MDTBuildLab\Captures\REFWS2016-003.wim, Information, 03/06/2017 14:58:29
IMF32, The script took 0:Days 1:Hours 16:Minutes to complete., Information, 03/06/2017 14:58:29
IMF32, Imagefactory 3.2 (Hyper-V), Information, 03/09/2017 17:28:52
IMF32, Logfile is C:\Setup\ImageFactoryV3ForHyper-V\log.txt, Information, 03/09/2017 17:28:52
IMF32, XMLfile is C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 03/09/2017 17:28:52
IMF32, Importing modules, Information, 03/09/2017 17:28:58
IMF32, Importing modules, Information, 03/09/2017 17:29:34
IMF32, Reading from C:\setup\ImageFactoryV3ForHyper-V\ImageFactoryV3.xml, Information, 03/09/2017 17:29:37
IMF32, Verify Connection to DeploymentRoot, Information, 03/09/2017 17:29:40
IMF32, Connect to MDT, Information, 03/09/2017 17:29:53
IMF32, Connected to D:\MDTBuildLab, Information, 03/09/2017 17:29:53
IMF32, Get MDT Settings, Information, 03/09/2017 17:29:57
IMF32, Check if we should update the boot image, Information, 03/09/2017 17:30:09
IMF32, Check if we should use MDTmonitoring, Information, 03/09/2017 17:30:13
IMF32, Verify access to boot image, Information, 03/09/2017 17:30:17
IMF32, Access to D:\MDTBuildLab\boot\MDT Build Lab x86.iso is ok, Information, 03/09/2017 17:30:17
IMF32, Get TaskSequences, Information, 03/09/2017 17:30:21
IMF32, Found 1 TaskSequences to work on, Information, 03/09/2017 17:30:21
IMF32, Get detailed info about the task sequences, Information, 03/09/2017 17:30:28
IMF32, REFWS2016-003 Ref Windows Server 2016 x64 Standard - 10.0.14393.0 1.0, Information, 03/09/2017 17:30:28
IMF32, Verify Connection to Hyper-V host, Information, 03/09/2017 17:30:39
IMF32, Upload boot image to Hyper-V host, Information, 03/09/2017 17:31:18
IMF32, Remove old WIM files in the capture folder, Information, 03/09/2017 17:31:22
IMF32, Create the VM's on Host, Information, 03/09/2017 17:31:40
IMF32, Get BIOS Serialnumber from each VM and update the customsettings.ini file, Information, 03/09/2017 17:33:11
IMF32, Start VM's on Host, Information, 03/09/2017 17:34:31
IMF32, ConcurrentRunningVMs is set to: 2, Information, 03/09/2017 17:34:31
IMF32, Wait until they are done, Information, 03/09/2017 17:35:31
